2024-12-08 16:45:51,908 - INFO - Test: 16, Vertices: 35, Time: 0.0047321319580078125, Independent Set Size: 7
2024-12-08 16:45:51,913 - INFO - Test: 17, Vertices: 35, Time: 0.0036017894744873047, Independent Set Size: 8
2024-12-08 16:45:51,919 - INFO - Test: 18, Vertices: 35, Time: 0.005480527877807617, Independent Set Size: 6
2024-12-08 16:45:51,923 - INFO - Test: 19, Vertices: 35, Time: 0.002365589141845703, Independent Set Size: 11
2024-12-08 16:45:51,930 - INFO - Test: 20, Vertices: 35, Time: 0.004992246627807617, Independent Set Size: 7
2024-12-08 16:45:51,935 - INFO - Test: 21, Vertices: 35, Time: 0.0037889480590820312, Independent Set Size: 9
2024-12-08 16:45:51,939 - INFO - Test: 22, Vertices: 35, Time: 0.003164052963256836, Independent Set Size: 9
2024-12-08 16:45:51,948 - INFO - Test: 23, Vertices: 35, Time: 0.007147312164306641, Independent Set Size: 5
2024-12-08 16:45:51,951 - INFO - Test: 24, Vertices: 35, Time: 0.0023651123046875, Independent Set Size: 12
2024-12-08 16:45:51,957 - INFO - Test: 25, Vertices: 35, Time: 0.004426240921020508, Independent Set Size: 8
2024-12-08 16:45:51,964 - INFO - Test: 26, Vertices: 35, Time: 0.005698680877685547, Independent Set Size: 6
2024-12-08 16:45:51,971 - INFO - Test: 27, Vertices: 35, Time: 0.005340099334716797, Independent Set Size: 7
2024-12-08 16:45:51,975 - INFO - Test: 28, Vertices: 35, Time: 0.0035088062286376953, Independent Set Size: 8
2024-12-08 16:45:51,984 - INFO - Test: 29, Vertices: 35, Time: 0.007000446319580078, Independent Set Size: 5
2024-12-08 16:45:51,988 - INFO - Test: 30, Vertices: 35, Time: 0.0024476051330566406, Independent Set Size: 13
2024-12-08 16:45:51,993 - INFO - Test: 31, Vertices: 35, Time: 0.004229068756103516, Independent Set Size: 8
2024-12-08 16:45:52,002 - INFO - Test: 32, Vertices: 35, Time: 0.00737452507019043, Independent Set Size: 5
2024-12-08 16:45:52,007 - INFO - Test: 33, Vertices: 35, Time: 0.004051685333251953, Independent Set Size: 9
2024-12-08 16:45:52,012 - INFO - Test: 34, Vertices: 35, Time: 0.0030558109283447266, Independent Set Size: 10
2024-12-08 16:45:52,020 - INFO - Test: 35, Vertices: 35, Time: 0.0071103572845458984, Independent Set Size: 5
2024-12-08 16:45:52,028 - INFO - Test: 36, Vertices: 35, Time: 0.006426811218261719, Independent Set Size: 5
2024-12-08 16:45:52,032 - INFO - Test: 37, Vertices: 35, Time: 0.002169370651245117, Independent Set Size: 11
2024-12-08 16:45:52,038 - INFO - Test: 38, Vertices: 35, Time: 0.004827976226806641, Independent Set Size: 7
2024-12-08 16:45:52,041 - INFO - Test: 39, Vertices: 35, Time: 0.0019061565399169922, Independent Set Size: 17
2024-12-08 16:45:52,048 - INFO - Test: 40, Vertices: 35, Time: 0.005905628204345703, Independent Set Size: 6
2024-12-08 16:45:52,053 - INFO - Test: 41, Vertices: 35, Time: 0.0028107166290283203, Independent Set Size: 12
2024-12-08 16:45:52,058 - INFO - Test: 42, Vertices: 35, Time: 0.004045248031616211, Independent Set Size: 9
2024-12-08 16:45:52,061 - INFO - Test: 43, Vertices: 35, Time: 0.001987934112548828, Independent Set Size: 14
2024-12-08 16:45:52,070 - INFO - Test: 44, Vertices: 35, Time: 0.0077667236328125, Independent Set Size: 5
2024-12-08 16:45:52,074 - INFO - Test: 45, Vertices: 35, Time: 0.0023021697998046875, Independent Set Size: 12
2024-12-08 16:45:52,080 - INFO - Test: 46, Vertices: 35, Time: 0.004585981369018555, Independent Set Size: 7
2024-12-08 16:45:52,089 - INFO - Test: 47, Vertices: 35, Time: 0.0073277950286865234, Independent Set Size: 5
2024-12-08 16:45:52,092 - INFO - Test: 48, Vertices: 35, Time: 0.0019021034240722656, Independent Set Size: 15
2024-12-08 16:45:52,099 - INFO - Test: 49, Vertices: 35, Time: 0.0058612823486328125, Independent Set Size: 6
2024-12-08 16:45:52,111 - INFO - Test: 0, Vertices: 45, Time: 0.010242223739624023, Independent Set Size: 8
2024-12-08 16:45:52,116 - INFO - Test: 1, Vertices: 45, Time: 0.0039446353912353516, Independent Set Size: 15
2024-12-08 16:45:52,129 - INFO - Test: 2, Vertices: 45, Time: 0.011597156524658203, Independent Set Size: 7
2024-12-08 16:45:52,134 - INFO - Test: 3, Vertices: 45, Time: 0.003453493118286133, Independent Set Size: 18
2024-12-08 16:45:52,152 - INFO - Test: 4, Vertices: 45, Time: 0.01703643798828125, Independent Set Size: 5
2024-12-08 16:45:52,161 - INFO - Test: 5, Vertices: 45, Time: 0.007054328918457031, Independent Set Size: 10
2024-12-08 16:45:52,165 - INFO - Test: 6, Vertices: 45, Time: 0.0035622119903564453, Independent Set Size: 17
